customer_id,first_name,last_name,email,registration_date,customer_segment,total_lifetime_value,preferred_contact,country,customer_age_years,is_premium,region
CUST24,FirstName23,LastName23,customer23@email.com,2024-09-23,Standard,4224.0,Email,USA,1.0,False,North America
CUST25,FirstName24,LastName24,customer24@email.com,2024-10-09,Basic,5272.85,Email,UK,0.9,False,Europe
CUST26,FirstName25,LastName25,customer25@email.com,2025-04-20,Premium,640.88,SMS,Canada,0.4,True,North America
CUST27,FirstName26,LastName26,customer26@email.com,2025-06-17,Premium,9733.47,Phone,UK,0.2,True,Europe
CUST28,FirstName27,LastName27,customer27@email.com,2023-07-30,Basic,2338.64,SMS,UK,2.1,False,Europe
CUST29,FirstName28,LastName28,customer28@email.com,2024-11-13,Premium,3111.57,SMS,Germany,0.8,True,Europe
CUST30,FirstName29,LastName29,customer29@email.com,2025-03-09,Premium,3109.03,Phone,France,0.5,True,Europe
CUST31,FirstName30,LastName30,customer30@email.com,2023-07-08,Basic,2381.12,Email,USA,2.2,False,North America
CUST32,FirstName31,LastName31,customer31@email.com,2023-01-20,Premium,114.59,Email,France,2.7,True,Europe
CUST33,FirstName32,LastName32,customer32@email.com,2024-12-18,Premium,7320.51,Phone,USA,0.7,True,North America
CUST34,FirstName33,LastName33,customer33@email.com,2023-03-22,Basic,9671.77,SMS,UK,2.5,False,Europe
CUST35,FirstName34,LastName34,customer34@email.com,2023-02-24,Basic,2320.51,Phone,Germany,2.6,False,Europe
CUST36,FirstName35,LastName35,customer35@email.com,2023-11-17,Premium,6664.17,SMS,Canada,1.8,True,North America
CUST37,FirstName36,LastName36,customer36@email.com,2023-03-21,Standard,7444.77,Email,Canada,2.5,False,North America
CUST38,FirstName37,LastName37,customer37@email.com,2025-04-20,Premium,8499.41,Phone,France,0.4,True,Europe
CUST39,FirstName38,LastName38,customer38@email.com,2024-10-18,Standard,4284.03,Email,France,0.9,False,Europe
CUST40,FirstName39,LastName39,customer39@email.com,2025-03-18,Basic,3099.02,Email,Canada,0.5,False,North America
CUST41,FirstName40,LastName40,customer40@email.com,2025-02-17,Basic,3320.42,SMS,France,0.6,False,Europe
CUST42,FirstName41,LastName41,customer41@email.com,2024-11-02,Premium,7154.95,Phone,USA,0.9,True,North America
CUST43,FirstName42,LastName42,customer42@email.com,2022-12-30,Premium,8186.12,Phone,Germany,2.7,True,Europe
CUST44,FirstName43,LastName43,customer43@email.com,2023-12-01,Premium,1897.98,Email,France,1.8,True,Europe
CUST45,FirstName44,LastName44,customer44@email.com,2023-08-28,Standard,3772.32,Phone,UK,2.1,False,Europe
CUST46,FirstName45,LastName45,customer45@email.com,2023-03-04,Standard,9029.21,Email,USA,2.5,False,North America
CUST47,FirstName46,LastName46,customer46@email.com,2024-09-24,Standard,8086.27,Phone,UK,1.0,False,Europe
CUST48,FirstName47,LastName47,customer47@email.com,2025-07-11,Standard,9850.1,SMS,Canada,0.2,False,North America
CUST49,FirstName48,LastName48,customer48@email.com,2023-04-20,Standard,7567.06,Email,France,2.4,False,Europe
CUST50,FirstName49,LastName49,customer49@email.com,2023-09-23,Basic,3992.63,SMS,Germany,2.0,False,Europe
CUST51,FirstName50,LastName50,customer50@email.com,2024-03-11,Basic,5947.31,Email,Canada,1.5,False,North America
CUST52,FirstName51,LastName51,customer51@email.com,2024-06-17,Basic,6644.04,SMS,Germany,1.2,False,Europe
CUST53,FirstName52,LastName52,customer52@email.com,2022-12-30,Basic,876.71,Email,France,2.7,False,Europe
CUST54,FirstName53,LastName53,customer53@email.com,2025-03-24,Standard,5490.52,SMS,Germany,0.5,False,Europe
CUST55,FirstName54,LastName54,customer54@email.com,2024-05-26,Premium,7122.28,Email,France,1.3,True,Europe
CUST56,FirstName55,LastName55,customer55@email.com,2024-03-02,Premium,1756.48,Email,Germany,1.5,True,Europe
CUST57,FirstName56,LastName56,customer56@email.com,2023-10-07,Basic,7828.25,Email,France,1.9,False,Europe
CUST58,FirstName57,LastName57,customer57@email.com,2023-04-03,Basic,5879.35,SMS,France,2.5,False,Europe
CUST59,FirstName58,LastName58,customer58@email.com,2023-07-26,Standard,9527.0,SMS,USA,2.1,False,North America
CUST60,FirstName59,LastName59,customer59@email.com,2023-07-20,Standard,519.98,Phone,Germany,2.2,False,Europe
CUST61,FirstName60,LastName60,customer60@email.com,2023-06-06,Basic,2726.73,Email,France,2.3,False,Europe
CUST62,FirstName61,LastName61,customer61@email.com,2023-05-13,Standard,6055.38,SMS,France,2.3,False,Europe
CUST63,FirstName62,LastName62,customer62@email.com,2025-03-10,Standard,3035.94,Email,France,0.5,False,Europe
CUST64,FirstName63,LastName63,customer63@email.com,2023-05-20,Premium,7172.8,Phone,USA,2.3,True,North America
CUST65,FirstName64,LastName64,customer64@email.com,2025-03-09,Standard,7614.15,SMS,Germany,0.5,False,Europe
CUST66,FirstName65,LastName65,customer65@email.com,2023-07-24,Premium,1114.91,SMS,Canada,2.2,True,North America
CUST67,FirstName66,LastName66,customer66@email.com,2023-05-29,Standard,5187.16,Phone,USA,2.3,False,North America
CUST68,FirstName67,LastName67,customer67@email.com,2024-12-25,Standard,5138.02,SMS,Canada,0.7,False,North America
CUST69,FirstName68,LastName68,customer68@email.com,2024-09-06,Premium,3755.88,Email,UK,1.0,True,Europe
CUST70,FirstName69,LastName69,customer69@email.com,2023-11-19,Standard,9335.96,Email,UK,1.8,False,Europe
CUST71,FirstName70,LastName70,customer70@email.com,2024-02-03,Standard,8292.31,SMS,UK,1.6,False,Europe
CUST72,FirstName71,LastName71,customer71@email.com,2024-12-25,Basic,7002.37,SMS,UK,0.7,False,Europe
CUST73,FirstName72,LastName72,customer72@email.com,2023-04-24,Basic,7171.83,Phone,Canada,2.4,False,North America
CUST74,FirstName73,LastName73,customer73@email.com,2025-06-26,Basic,4670.99,Phone,USA,0.2,False,North America
CUST75,FirstName74,LastName74,customer74@email.com,2023-08-02,Basic,9217.85,SMS,USA,2.1,False,North America
CUST76,FirstName75,LastName75,customer75@email.com,2025-01-21,Basic,6976.49,Email,France,0.7,False,Europe
CUST77,FirstName76,LastName76,customer76@email.com,2024-09-01,Basic,7316.91,SMS,Canada,1.0,False,North America
CUST78,FirstName77,LastName77,customer77@email.com,2024-11-06,Basic,8630.74,Phone,Germany,0.9,False,Europe
CUST79,FirstName78,LastName78,customer78@email.com,2024-09-26,Premium,2813.31,Phone,France,1.0,True,Europe
CUST80,FirstName79,LastName79,customer79@email.com,2024-10-09,Standard,8090.0,Email,UK,0.9,False,Europe
CUST81,FirstName80,LastName80,customer80@email.com,2023-04-13,Basic,2032.88,Email,Germany,2.4,False,Europe
CUST82,FirstName81,LastName81,customer81@email.com,2023-11-25,Standard,3518.89,SMS,Germany,1.8,False,Europe
CUST83,FirstName82,LastName82,customer82@email.com,2024-12-05,Basic,3422.54,Email,Germany,0.8,False,Europe
CUST84,FirstName83,LastName83,customer83@email.com,2023-10-05,Premium,9787.4,SMS,USA,2.0,True,North America
CUST85,FirstName84,LastName84,customer84@email.com,2024-01-15,Premium,8579.72,Email,USA,1.7,True,North America
CUST86,FirstName85,LastName85,customer85@email.com,2025-05-02,Premium,7041.58,Phone,USA,0.4,True,North America
CUST87,FirstName86,LastName86,customer86@email.com,2025-02-04,Premium,7297.86,SMS,France,0.6,True,Europe
CUST88,FirstName87,LastName87,customer87@email.com,2024-10-31,Standard,5664.52,Email,Germany,0.9,False,Europe
CUST89,FirstName88,LastName88,customer88@email.com,2024-02-28,Basic,9476.2,Phone,France,1.6,False,Europe
CUST90,FirstName89,LastName89,customer89@email.com,2023-01-08,Basic,5012.96,Phone,Canada,2.7,False,North America
CUST91,FirstName90,LastName90,customer90@email.com,2023-03-31,Premium,3867.13,Email,France,2.5,True,Europe
CUST92,FirstName91,LastName91,customer91@email.com,2024-02-17,Standard,1714.05,Email,France,1.6,False,Europe
CUST93,FirstName92,LastName92,customer92@email.com,2024-07-09,Premium,7883.44,Email,France,1.2,True,Europe
CUST94,FirstName93,LastName93,customer93@email.com,2025-01-13,Standard,7370.99,Phone,Canada,0.7,False,North America
CUST95,FirstName94,LastName94,customer94@email.com,2024-05-09,Standard,3905.11,Email,France,1.4,False,Europe
CUST96,FirstName95,LastName95,customer95@email.com,2025-01-28,Premium,349.41,SMS,Canada,0.6,True,North America
CUST97,FirstName96,LastName96,customer96@email.com,2024-01-21,Basic,8406.07,Phone,France,1.7,False,Europe
CUST98,FirstName97,LastName97,customer97@email.com,2024-09-10,Premium,213.04,Phone,USA,1.0,True,North America
CUST99,FirstName98,LastName98,customer98@email.com,2025-01-08,Basic,7066.63,Phone,UK,0.7,False,Europe
CUST100,FirstName99,LastName99,customer99@email.com,2025-05-05,Standard,9705.55,Phone,Canada,0.4,False,North America
CUST101,FirstName100,LastName100,customer100@email.com,2024-09-26,Basic,4432.85,SMS,UK,1.0,False,Europe
CUST102,FirstName101,LastName101,customer101@email.com,2025-03-31,Premium,2426.24,Phone,USA,0.5,True,North America
CUST103,FirstName102,LastName102,customer102@email.com,2023-11-12,Premium,7078.22,Email,Germany,1.8,True,Europe
CUST104,FirstName103,LastName103,customer103@email.com,2023-11-18,Basic,8189.57,Email,UK,1.8,False,Europe
CUST105,FirstName104,LastName104,customer104@email.com,2023-10-01,Standard,5509.66,Phone,Germany,2.0,False,Europe
CUST106,FirstName105,LastName105,customer105@email.com,2024-11-04,Standard,9673.65,Phone,UK,0.9,False,Europe
CUST107,FirstName106,LastName106,customer106@email.com,2023-06-14,Standard,611.52,Email,Germany,2.3,False,Europe
CUST108,FirstName107,LastName107,customer107@email.com,2023-09-01,Standard,5097.48,Phone,France,2.0,False,Europe
CUST109,FirstName108,LastName108,customer108@email.com,2023-05-24,Premium,7212.69,Email,USA,2.3,True,North America
CUST110,FirstName109,LastName109,customer109@email.com,2024-10-15,Standard,8640.14,Email,Canada,0.9,False,North America
CUST111,FirstName110,LastName110,customer110@email.com,2025-03-01,Standard,1874.63,Phone,France,0.5,False,Europe
CUST112,FirstName111,LastName111,customer111@email.com,2024-06-16,Premium,8020.03,Phone,Canada,1.3,True,North America
CUST113,FirstName112,LastName112,customer112@email.com,2024-11-04,Premium,5571.8,Email,Canada,0.9,True,North America
CUST114,FirstName113,LastName113,customer113@email.com,2023-10-10,Standard,4025.88,SMS,UK,1.9,False,Europe
CUST115,FirstName114,LastName114,customer114@email.com,2023-12-26,Standard,1403.98,SMS,France,1.7,False,Europe
CUST116,FirstName115,LastName115,customer115@email.com,2025-01-19,Basic,8666.43,Phone,Germany,0.7,False,Europe
CUST117,FirstName116,LastName116,customer116@email.com,2025-02-02,Premium,1657.0,Email,Germany,0.6,True,Europe
CUST118,FirstName117,LastName117,customer117@email.com,2024-06-24,Standard,3166.9,SMS,UK,1.2,False,Europe
CUST119,FirstName118,LastName118,customer118@email.com,2024-01-24,Premium,2971.45,Email,Canada,1.6,True,North America
CUST120,FirstName119,LastName119,customer119@email.com,2023-07-01,Basic,8727.0,SMS,USA,2.2,False,North America
CUST121,FirstName120,LastName120,customer120@email.com,2023-04-10,Basic,6759.76,Email,Canada,2.4,False,North America
CUST122,FirstName121,LastName121,customer121@email.com,2025-01-02,Standard,7987.15,Email,Canada,0.7,False,North America
CUST123,FirstName122,LastName122,customer122@email.com,2023-10-03,Premium,2579.63,Email,Canada,2.0,True,North America
CUST124,FirstName123,LastName123,customer123@email.com,2024-03-01,Basic,6286.25,Email,France,1.5,False,Europe
CUST125,FirstName124,LastName124,customer124@email.com,2025-05-13,Basic,5760.29,SMS,USA,0.3,False,North America
CUST126,FirstName125,LastName125,customer125@email.com,2023-06-06,Premium,8345.02,SMS,USA,2.3,True,North America
CUST127,FirstName126,LastName126,customer126@email.com,2025-02-03,Premium,9070.26,SMS,USA,0.6,True,North America
CUST128,FirstName127,LastName127,customer127@email.com,2023-06-11,Standard,220.35,SMS,Germany,2.3,False,Europe
CUST129,FirstName128,LastName128,customer128@email.com,2024-05-09,Basic,6772.8,Email,France,1.4,False,Europe
CUST130,FirstName129,LastName129,customer129@email.com,2024-07-07,Standard,613.17,Email,USA,1.2,False,North America
CUST131,FirstName130,LastName130,customer130@email.com,2025-05-16,Premium,5533.7,Phone,Canada,0.3,True,North America
CUST132,FirstName131,LastName131,customer131@email.com,2023-08-10,Basic,2947.56,Phone,USA,2.1,False,North America
CUST133,FirstName132,LastName132,customer132@email.com,2023-03-03,Standard,3137.09,Phone,France,2.5,False,Europe
CUST134,FirstName133,LastName133,customer133@email.com,2024-11-09,Premium,3594.29,SMS,USA,0.9,True,North America
CUST135,FirstName134,LastName134,customer134@email.com,2024-08-28,Basic,6250.8,SMS,USA,1.1,False,North America
CUST136,FirstName135,LastName135,customer135@email.com,2024-10-05,Basic,3407.09,SMS,France,0.9,False,Europe
CUST137,FirstName136,LastName136,customer136@email.com,2025-08-16,Basic,7353.72,Phone,France,0.1,False,Europe
CUST138,FirstName137,LastName137,customer137@email.com,2025-02-21,Premium,4104.82,Phone,Germany,0.6,True,Europe
CUST139,FirstName138,LastName138,customer138@email.com,2024-11-22,Premium,776.7,SMS,UK,0.8,True,Europe
CUST140,FirstName139,LastName139,customer139@email.com,2023-02-23,Premium,7859.22,Email,Germany,2.6,True,Europe
CUST141,FirstName140,LastName140,customer140@email.com,2024-04-17,Standard,2929.01,SMS,Germany,1.4,False,Europe
CUST142,FirstName141,LastName141,customer141@email.com,2023-04-21,Premium,4384.39,Phone,Canada,2.4,True,North America
CUST143,FirstName142,LastName142,customer142@email.com,2025-06-26,Standard,6885.89,SMS,Canada,0.2,False,North America
CUST144,FirstName143,LastName143,customer143@email.com,2025-06-23,Premium,3391.32,Phone,UK,0.2,True,Europe
CUST145,FirstName144,LastName144,customer144@email.com,2024-05-25,Basic,660.2,Phone,UK,1.3,False,Europe
CUST146,FirstName145,LastName145,customer145@email.com,2025-05-31,Premium,3801.82,Phone,Germany,0.3,True,Europe
CUST147,FirstName146,LastName146,customer146@email.com,2023-02-16,Standard,9450.04,SMS,USA,2.6,False,North America
CUST148,FirstName147,LastName147,customer147@email.com,2023-09-03,Premium,6453.17,Email,USA,2.0,True,North America
CUST149,FirstName148,LastName148,customer148@email.com,2024-08-20,Standard,6747.64,Email,France,1.1,False,Europe
CUST150,FirstName149,LastName149,customer149@email.com,2023-02-26,Standard,6359.59,Email,Canada,2.6,False,North America
CUST151,FirstName150,LastName150,customer150@email.com,2024-03-11,Standard,2070.02,Phone,UK,1.5,False,Europe
CUST152,FirstName151,LastName151,customer151@email.com,2023-09-04,Basic,4241.51,Email,Germany,2.0,False,Europe
CUST153,FirstName152,LastName152,customer152@email.com,2023-09-16,Basic,7534.3,Phone,France,2.0,False,Europe
CUST154,FirstName153,LastName153,customer153@email.com,2023-09-07,Basic,1103.59,Email,France,2.0,False,Europe
CUST155,FirstName154,LastName154,customer154@email.com,2023-10-08,Standard,2850.74,Phone,Germany,1.9,False,Europe
CUST156,FirstName155,LastName155,customer155@email.com,2023-09-02,Standard,2835.56,SMS,UK,2.0,False,Europe
CUST157,FirstName156,LastName156,customer156@email.com,2023-07-12,Standard,4376.99,SMS,Germany,2.2,False,Europe
CUST158,FirstName157,LastName157,customer157@email.com,2025-07-22,Premium,9805.65,SMS,USA,0.2,True,North America
CUST159,FirstName158,LastName158,customer158@email.com,2023-08-06,Basic,768.28,Email,UK,2.1,False,Europe
CUST160,FirstName159,LastName159,customer159@email.com,2024-10-19,Premium,5235.14,Email,UK,0.9,True,Europe
CUST161,FirstName160,LastName160,customer160@email.com,2023-10-29,Premium,1875.71,Email,Canada,1.9,True,North America
CUST162,FirstName161,LastName161,customer161@email.com,2024-07-11,Standard,9709.7,Phone,Canada,1.2,False,North America
CUST163,FirstName162,LastName162,customer162@email.com,2024-01-11,Standard,1221.7,Email,France,1.7,False,Europe
CUST164,FirstName163,LastName163,customer163@email.com,2023-03-07,Standard,4095.65,SMS,France,2.5,False,Europe
CUST165,FirstName164,LastName164,customer164@email.com,2023-09-14,Standard,7405.06,Phone,Canada,2.0,False,North America
CUST166,FirstName165,LastName165,customer165@email.com,2024-08-12,Standard,7075.09,Email,Canada,1.1,False,North America
CUST167,FirstName166,LastName166,customer166@email.com,2023-06-03,Premium,4285.01,Email,Canada,2.3,True,North America
CUST168,FirstName167,LastName167,customer167@email.com,2025-07-16,Basic,3530.59,Phone,USA,0.2,False,North America
CUST169,FirstName168,LastName168,customer168@email.com,2024-07-29,Basic,4036.36,Phone,Canada,1.1,False,North America
CUST170,FirstName169,LastName169,customer169@email.com,2025-04-10,Standard,2716.34,Email,Germany,0.4,False,Europe
CUST171,FirstName170,LastName170,customer170@email.com,2023-06-16,Basic,2132.8,Phone,France,2.3,False,Europe
CUST172,FirstName171,LastName171,customer171@email.com,2023-08-04,Basic,4882.09,Phone,France,2.1,False,Europe
CUST173,FirstName172,LastName172,customer172@email.com,2023-06-14,Basic,2758.48,SMS,Germany,2.3,False,Europe
CUST174,FirstName173,LastName173,customer173@email.com,2024-03-03,Basic,2945.87,Email,France,1.5,False,Europe
CUST175,FirstName174,LastName174,customer174@email.com,2024-09-02,Basic,6601.89,SMS,UK,1.0,False,Europe
CUST176,FirstName175,LastName175,customer175@email.com,2025-05-28,Premium,9688.52,Phone,Canada,0.3,True,North America
CUST177,FirstName176,LastName176,customer176@email.com,2023-06-19,Premium,6076.01,SMS,France,2.2,True,Europe
CUST178,FirstName177,LastName177,customer177@email.com,2023-03-27,Premium,862.1,Email,USA,2.5,True,North America
CUST179,FirstName178,LastName178,customer178@email.com,2023-10-02,Standard,848.28,Phone,USA,2.0,False,North America
CUST180,FirstName179,LastName179,customer179@email.com,2023-03-25,Basic,9519.09,SMS,Germany,2.5,False,Europe
CUST181,FirstName180,LastName180,customer180@email.com,2023-04-23,Standard,3043.18,Email,Germany,2.4,False,Europe
CUST182,FirstName181,LastName181,customer181@email.com,2023-08-21,Premium,1011.46,SMS,Germany,2.1,True,Europe
CUST183,FirstName182,LastName182,customer182@email.com,2023-10-14,Premium,6030.54,Email,UK,1.9,True,Europe
CUST184,FirstName183,LastName183,customer183@email.com,2023-11-02,Standard,6274.12,Email,France,1.9,False,Europe
CUST185,FirstName184,LastName184,customer184@email.com,2024-01-01,Basic,6520.2,SMS,USA,1.7,False,North America
CUST186,FirstName185,LastName185,customer185@email.com,2025-08-14,Premium,2747.28,Email,France,0.1,True,Europe
CUST187,FirstName186,LastName186,customer186@email.com,2023-05-14,Standard,249.6,Email,UK,2.3,False,Europe
CUST188,FirstName187,LastName187,customer187@email.com,2023-12-21,Standard,9653.65,SMS,Canada,1.7,False,North America
CUST189,FirstName188,LastName188,customer188@email.com,2024-04-06,Basic,2583.84,Email,Germany,1.4,False,Europe
CUST190,FirstName189,LastName189,customer189@email.com,2024-09-17,Standard,6792.66,SMS,Germany,1.0,False,Europe
CUST191,FirstName190,LastName190,customer190@email.com,2024-12-28,Premium,7095.64,SMS,France,0.7,True,Europe
CUST192,FirstName191,LastName191,customer191@email.com,2024-12-31,Premium,6139.07,Email,UK,0.7,True,Europe
CUST193,FirstName192,LastName192,customer192@email.com,2025-06-05,Premium,3197.78,SMS,UK,0.3,True,Europe
CUST194,FirstName193,LastName193,customer193@email.com,2023-12-12,Premium,2783.85,SMS,USA,1.8,True,North America
CUST195,FirstName194,LastName194,customer194@email.com,2023-08-15,Standard,6016.92,SMS,France,2.1,False,Europe
CUST196,FirstName195,LastName195,customer195@email.com,2025-06-20,Standard,8674.35,Email,USA,0.2,False,North America
CUST197,FirstName196,LastName196,customer196@email.com,2025-07-18,Standard,9472.66,Phone,Canada,0.2,False,North America
CUST198,FirstName197,LastName197,customer197@email.com,2024-10-09,Standard,1148.47,Phone,France,0.9,False,Europe
CUST199,FirstName198,LastName198,customer198@email.com,2025-08-10,Standard,1632.8,Phone,Canada,0.1,False,North America
CUST200,FirstName199,LastName199,customer199@email.com,2023-05-30,Basic,9452.89,Phone,Canada,2.3,False,North America
CUST201,FirstName200,LastName200,customer200@email.com,2025-02-24,Premium,7391.7,Phone,France,0.6,True,Europe
CUST202,FirstName201,LastName201,customer201@email.com,2023-05-31,Premium,8841.64,Email,Germany,2.3,True,Europe
CUST203,FirstName202,LastName202,customer202@email.com,2022-12-21,Basic,2106.06,SMS,Germany,2.7,False,Europe
CUST204,FirstName203,LastName203,customer203@email.com,2025-02-07,Basic,5917.1,Email,Canada,0.6,False,North America
CUST205,FirstName204,LastName204,customer204@email.com,2024-07-05,Basic,7041.28,Email,France,1.2,False,Europe
CUST206,FirstName205,LastName205,customer205@email.com,2024-06-29,Basic,6833.11,Email,UK,1.2,False,Europe
CUST207,FirstName206,LastName206,customer206@email.com,2023-08-10,Premium,4140.7,Email,France,2.1,True,Europe
CUST208,FirstName207,LastName207,customer207@email.com,2024-01-25,Basic,252.41,Phone,France,1.6,False,Europe
CUST209,FirstName208,LastName208,customer208@email.com,2023-11-21,Standard,5870.97,Phone,Germany,1.8,False,Europe
CUST210,FirstName209,LastName209,customer209@email.com,2024-04-28,Standard,2605.71,SMS,France,1.4,False,Europe
CUST211,FirstName210,LastName210,customer210@email.com,2023-10-26,Premium,4557.52,Email,France,1.9,True,Europe
CUST212,FirstName211,LastName211,customer211@email.com,2024-05-26,Basic,9580.05,Phone,Germany,1.3,False,Europe
CUST213,FirstName212,LastName212,customer212@email.com,2024-10-24,Standard,4050.45,Email,UK,0.9,False,Europe
CUST214,FirstName213,LastName213,customer213@email.com,2024-01-23,Premium,8414.04,SMS,USA,1.6,True,North America
CUST215,FirstName214,LastName214,customer214@email.com,2024-05-02,Standard,1966.55,Phone,Canada,1.4,False,North America
CUST216,FirstName215,LastName215,customer215@email.com,2023-04-11,Basic,6757.36,SMS,USA,2.4,False,North America
CUST217,FirstName216,LastName216,customer216@email.com,2025-07-07,Standard,9772.37,SMS,USA,0.2,False,North America
CUST218,FirstName217,LastName217,customer217@email.com,2025-07-15,Standard,1108.74,SMS,France,0.2,False,Europe
CUST219,FirstName218,LastName218,customer218@email.com,2024-06-26,Standard,182.37,Phone,France,1.2,False,Europe
CUST220,FirstName219,LastName219,customer219@email.com,2024-12-30,Premium,4392.47,Phone,France,0.7,True,Europe
CUST221,FirstName220,LastName220,customer220@email.com,2025-05-23,Standard,1016.99,Email,France,0.3,False,Europe
CUST222,FirstName221,LastName221,customer221@email.com,2024-08-27,Basic,7509.01,Email,UK,1.1,False,Europe
CUST223,FirstName222,LastName222,customer222@email.com,2025-02-22,Standard,9154.03,Email,France,0.6,False,Europe
CUST224,FirstName223,LastName223,customer223@email.com,2023-04-08,Premium,4396.81,Phone,Canada,2.4,True,North America
CUST225,FirstName224,LastName224,customer224@email.com,2025-07-26,Premium,2661.25,Email,USA,0.1,True,North America
CUST226,FirstName225,LastName225,customer225@email.com,2025-05-14,Standard,4400.59,Phone,UK,0.3,False,Europe
CUST227,FirstName226,LastName226,customer226@email.com,2025-06-28,Standard,7262.13,SMS,Germany,0.2,False,Europe
CUST228,FirstName227,LastName227,customer227@email.com,2024-09-12,Premium,189.64,Phone,Germany,1.0,True,Europe
CUST229,FirstName228,LastName228,customer228@email.com,2025-02-16,Standard,5935.59,Email,UK,0.6,False,Europe
CUST230,FirstName229,LastName229,customer229@email.com,2023-05-06,Basic,6171.59,Phone,Canada,2.4,False,North America
CUST231,FirstName230,LastName230,customer230@email.com,2025-01-16,Basic,6413.11,SMS,France,0.7,False,Europe
CUST232,FirstName231,LastName231,customer231@email.com,2024-10-08,Premium,2496.02,Email,Canada,0.9,True,North America
CUST233,FirstName232,LastName232,customer232@email.com,2024-01-02,Standard,7169.12,Phone,USA,1.7,False,North America
CUST234,FirstName233,LastName233,customer233@email.com,2024-01-23,Standard,1004.78,Phone,USA,1.6,False,North America
CUST235,FirstName234,LastName234,customer234@email.com,2023-06-30,Basic,2072.78,Phone,Canada,2.2,False,North America
CUST236,FirstName235,LastName235,customer235@email.com,2025-02-20,Basic,8786.95,SMS,Germany,0.6,False,Europe
CUST237,FirstName236,LastName236,customer236@email.com,2024-01-07,Standard,7413.36,Phone,France,1.7,False,Europe
CUST238,FirstName237,LastName237,customer237@email.com,2024-12-06,Basic,236.08,Email,Canada,0.8,False,North America
CUST239,FirstName238,LastName238,customer238@email.com,2025-01-06,Standard,2558.92,SMS,Canada,0.7,False,North America
CUST240,FirstName239,LastName239,customer239@email.com,2023-08-10,Premium,2222.62,SMS,Canada,2.1,True,North America
CUST241,FirstName240,LastName240,customer240@email.com,2023-01-29,Premium,2780.98,Email,UK,2.6,True,Europe
CUST242,FirstName241,LastName241,customer241@email.com,2023-05-05,Basic,2550.84,SMS,Germany,2.4,False,Europe
CUST243,FirstName242,LastName242,customer242@email.com,2025-06-21,Basic,719.01,SMS,France,0.2,False,Europe
CUST244,FirstName243,LastName243,customer243@email.com,2024-07-14,Premium,4643.51,SMS,UK,1.2,True,Europe
CUST245,FirstName244,LastName244,customer244@email.com,2024-04-11,Premium,7354.06,SMS,UK,1.4,True,Europe
CUST246,FirstName245,LastName245,customer245@email.com,2023-07-13,Premium,6106.64,SMS,France,2.2,True,Europe
